ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,BRUMBIES,3,1,0,0,1,1,2,0
2,HIGHLANDERS,4,2,2,0,3,3,2,0
3,REDS,3,2,1,0,2,2,2,0
4,BLUES,5,4,0,0,3,3,1,0
5,FORCE,7,5,0,0,2,2,1,0
6,WARATAHS,6,4,1,0,3,2,1,0
8,SUNWOLVES,8,5,0,0,0,0,1,0
9,STORMERS,8,7,1,0,3,3,1,0
10,CHEETAHS,7,5,1,0,3,3,0,0
11,BULLS,10,6,0,0,3,3,1,0
12,HURRICANES,1,0,5,0,0,0,4,0
13,CHIEFS,3,2,4,0,4,3,0,0
14,REBELS,6,4,1,0,3,2,0,0
15,HIGHLANDERS,3,2,1,1,3,2,1,0
17,HURRICANES,3,2,1,0,4,4,1,0
