ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,REBELS,7,6,3,0,2,1,2,0
2,CHIEFS,3,1,3,0,6,4,1,0
3,HIGHLANDERS,0,0,4,0,1,1,3,0
4,CRUSADERS,3,3,1,0,5,4,0,0
5,BULLS,6,4,0,0,2,2,0,0
6,FORCE,4,2,0,0,2,1,1,0
7,HIGHLANDERS,2,2,2,0,2,2,4,0
8,HURRICANES,3,3,1,0,4,4,0,0
10,BRUMBIES,3,0,1,0,0,0,4,0
11,WARATAHS,4,4,4,0,5,4,0,0
12,CHEETAHS,8,5,0,0,4,3,2,0
13,STORMERS,3,2,1,0,3,3,3,0
14,CHIEFS,1,1,3,0,2,0,2,0
15,REDS,5,3,1,0,4,3,1,0
17,SUNWOLVES,3,3,0,0,8,4,0,0
