ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CHIEFS,0,0,5,0,3,3,1,0
2,CRUSADERS,3,3,2,0,4,2,2,0
3,BLUES,1,1,3,0,0,0,4,0
4,HURRICANES,2,1,1,0,7,3,0,0
5,BRUMBIES,2,1,2,0,1,1,2,0
6,REBELS,6,6,3,0,2,1,0,0
7,BLUES,2,2,4,0,2,2,2,0
9,SUNWOLVES,6,5,0,0,2,1,1,0
10,STORMERS,9,6,0,0,2,2,0,0
11,CHEETAHS,6,6,1,0,6,4,1,0
12,BULLS,2,2,1,0,1,1,1,0
13,FORCE,8,5,1,0,0,0,2,0
14,WARATAHS,6,4,2,0,4,3,0,0
15,CRUSADERS,3,2,1,0,3,2,1,1
17,REDS,6,5,0,0,3,1,0,0
QF,CRUSADERS,0,0,0,0,2,2,1,0
