ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,STORMERS,4,2,0,0,5,3,2,0
2,CHEETAHS,3,2,3,0,4,4,2,0
4,SUNWOLVES,4,4,2,0,2,1,3,0
5,BLUES,2,2,0,0,6,4,0,0
6,CHIEFS,0,0,4,0,3,2,3,0
7,SUNWOLVES,2,2,2,0,2,1,3,0
8,JAGUARES,2,2,4,0,1,1,2,0
9,CHEETAHS,2,2,2,0,1,0,3,0
11,CRUSADERS,3,3,1,0,10,6,0,0
12,HIGHLANDERS,1,1,1,0,2,2,1,0
13,LIONS,2,2,0,0,7,5,2,0
14,HURRICANES,2,2,2,0,5,3,1,0
15,SHARKS,4,2,2,0,2,2,1,0
16,KINGS,3,3,3,0,3,2,3,1
17,STORMERS,5,4,0,0,6,4,1,0
