ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,KINGS,3,3,6,0,2,2,4,0
2,STORMERS,3,2,2,0,4,3,2,0
3,LIONS,4,2,4,0,4,2,0,0
4,CHEETAHS,5,5,2,0,2,2,0,0
5,REDS,3,2,1,0,1,0,1,0
7,SHARKS,1,1,2,0,2,1,2,0
8,BULLS,1,1,2,0,2,2,4,0
9,LIONS,3,3,0,0,3,3,1,0
10,SHARKS,3,2,2,0,3,3,4,0
11,SUNWOLVES,6,4,1,0,5,4,2,0
12,FORCE,0,0,2,0,2,0,2,0
14,BRUMBIES,2,1,1,0,6,3,1,0
15,KINGS,5,1,1,0,4,4,1,0
16,JAGUARES,5,3,3,0,3,2,3,0
17,REBELS,4,3,2,0,2,2,5,0
