ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,JAGUARES,PLZ,2,2,4,0,3,3,6,0
2,SUNWOLVES,SIN,4,4,3,0,3,1,2,0
3,STORMERS,PLZ,1,1,1,0,6,4,1,0
4,SHARKS,DUR,2,2,1,0,2,3,0,0
5,LIONS,PLZ,3,2,0,0,6,6,0,0
7,FORCE,PER,6,4,1,0,7,5,1,0
8,REDS,BNE,5,3,1,0,7,6,0,0
9,WARATAHS,SYD,4,3,0,0,4,2,0,0
10,REBELS,PLZ,6,4,2,0,0,0,1,0
12,SHARKS,PLZ,4,3,2,1,2,2,6,0
13,BRUMBIES,PLZ,1,1,1,0,3,2,0,0
14,LIONS,JNB,1,1,1,0,8,7,0,0
15,JAGUARES,BUE,4,4,1,0,5,1,1,0
16,BULLS,PRE,3,2,3,1,3,3,3,0
17,CHEETAHS,PLZ,3,1,2,0,2,1,3,0
