ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,HIGHLANDERS,3,3,1,0,0,0,5,0
2,BLUES,6,4,1,0,3,1,3,0
3,HURRICANES,2,2,4,0,2,1,2,0
4,REBELS,4,2,1,0,1,0,3,0
6,BULLS,3,2,3,0,0,0,4,0
7,STORMERS,3,1,2,0,4,4,2,0
8,CHEETAHS,6,4,1,0,3,3,2,0
9,FORCE,1,1,3,0,1,1,0,0
10,SUNWOLVES,4,2,1,0,2,2,2,0
11,REDS,6,5,2,0,3,1,0,0
13,CRUSADERS,4,3,0,0,3,2,4,0
14,BLUES,2,0,2,0,1,1,3,0
15,WARATAHS,6,5,2,0,4,4,1,0
16,HURRICANES,2,2,1,0,2,2,0,0
17,BRUMBIES,3,2,3,0,1,1,1,0
QF,STORMERS,1,0,4,0,1,0,2,0
SF,CRUSADERS,1,1,2,0,4,2,1,0
