ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,CHEETAHS,BFN,3,2,3,0,1,1,6,0
2,WARATAHS,JNB,8,6,0,1,5,4,1,0
3,JAGUARES,BUE,4,2,0,0,4,2,4,0
4,REDS,JNB,7,3,1,0,2,2,0,0
5,KINGS,PLZ,6,6,0,0,3,2,0,0
6,SHARKS,JNB,3,2,4,1,2,2,4,1
8,STORMERS,CPT,4,3,1,0,1,1,3,0
9,JAGUARES,JNB,3,3,1,0,3,3,0,0
10,FORCE,PER,3,3,1,0,0,0,5,0
11,REBELS,MEL,7,6,0,0,1,1,1,0
12,BRUMBIES,CBR,1,1,2,0,0,0,2,0
13,BULLS,JNB,7,5,2,0,2,2,0,0
14,KINGS,JNB,8,7,0,0,1,1,1,0
15,SUNWOLVES,JNB,14,12,0,0,1,1,0,0
17,SHARKS,DUR,3,0,4,0,1,1,1,0
QF,SHARKS,JNB,3,1,2,0,2,1,2,1
SF,HURRICANES,JNB,6,4,2,0,4,3,1,0
F,CRUSADERS,JNB,2,2,1,0,3,2,2,0
