,Attack,Defense,Overall,Standardised,Quantile
AUS,6.274444444444443,-11.167777777777777,17.44222222222222,1.8398781922829546,0.9671069388225132
LA,1.2088888888888885,-10.773333333333333,11.982222222222223,1.2125581641762744,0.8873506039586965
NE,5.8962962962962955,-3.196296296296297,9.092592592592593,0.8805576988874181,0.8107213686888681
ATL,4.086419753086419,-2.958024691358025,7.044444444444444,0.6452382201579414,0.7406135892334051
SEA,-0.8766666666666666,-3.9322222222222223,3.055555555555556,0.18693970552566982,0.574146046296051
SD,3.2477777777777774,2.056666666666666,1.1911111111111112,-0.027273360645068828,0.4891208520441101
UTAH,1.0888888888888881,0.7999999999999995,0.2888888888888894,-0.1309330803891926,0.4479141227864419
TOR,-2.3600000000000003,-2.3388888888888886,-0.021111111111111212,-0.16655015158206282,0.43386200949590736
RUNY,-1.8185185185185186,-1.2962962962962965,-0.5222222222222226,-0.22412470035620058,0.4113301366083055
HOU,-5.032222222222222,-4.137777777777778,-0.8944444444444437,-0.26689071773832046,0.39477665183877014
NOLA,-1.8777777777777789,2.9055555555555554,-4.783333333333333,-0.7136998545664405,0.23770639818191253
OGDC,-3.9488888888888893,8.205555555555552,-12.154444444444445,-1.560594658485797,0.059309709941141875
DAL,3.866666666666667,17.017777777777773,-13.15111111111111,-1.675105457267175,0.04695677121190059
