,Attack,Defense,Overall,Standardised,Quantile
AG,2.0,-8.0,10.0,1.2375131336446135,0.8920516792470605
NOLA,-3.25,-10.25,7.0,0.8683887572611341,0.8074092262613163
RUNY,-0.5,-7.0,6.5,0.8068680278638874,0.790128739614798
HOU,1.25,-5.0,6.25,0.7761076631652641,0.7811572903100399
UTAH,2.25,-1.75,4.0,0.4992643808776547,0.6912034276760937
NE,5.0,2.0,3.0,0.3762229220831616,0.6466244121082096
ATL,3.0,2.0,1.0,0.1301400044941754,0.5517721698871226
DAL,-1.25,-2.0,0.75,0.09937963979555213,0.5395815760908622
SEA,-5.25,-5.0,-0.25,-0.02366181899894098,0.49056118074866145
LA,2.75,5.5,-2.75,-0.33126546598517376,0.3702219870945999
SD,1.25,8.5,-7.25,-0.8849520305603927,0.18809125194202475
OGDC,4.5,13.75,-9.25,-1.1310349481493789,0.12902019111034457
TOR,-10.25,9.5,-19.75,-2.4229702654915566,0.007697093325695974
