,Attack,Defense,Overall,Standardised,Quantile
AG,2.888888888888888,-10.777777777777779,13.666666666666666,1.7558269856322855,0.9604410224410669
RUNY,2.833333333333334,-8.666666666666668,11.500000000000002,1.4820022296447222,0.9308301491508659
UTAH,-0.3333333333333339,-7.4444444444444455,7.111111111111112,0.9273315700801705,0.823122796105927
SEA,-2.555555555555556,-4.555555555555556,2.0,0.2813859918530977,0.6107928194290417
HOU,-3.611111111111112,-4.333333333333333,0.7222222222222214,0.11989959729632944,0.5477186582569492
ATL,3.1111111111111107,3.1111111111111107,0.0,0.028624678633808385,0.5114180352784751
LA,-0.5,-0.5,0.0,0.028624678633808385,0.5114180352784751
NOLA,-7.111111111111111,-6.611111111111112,-0.49999999999999883,-0.034565649671013804,0.4862130463569265
SD,4.666666666666665,7.777777777777778,-3.111111111111112,-0.3645595863739752,0.3577200934521366
DAL,3.888888888888889,7.5555555555555545,-3.666666666666666,-0.43477106226822204,0.33186430575040315
NE,-3.333333333333334,1.666666666666666,-5.0,-0.6032786044144149,0.27316168192021706
OGDC,2.6666666666666674,15.277777777777777,-12.611111111111109,-1.5651758241655993,0.05877084425474959
TOR,-5.388888888888889,7.666666666666667,-13.055555555555557,-1.6213450048809974,0.05247183407257926
