,Attack,Defense,Overall,Standardised,Quantile
AUS,2.6,-11.56111111,14.16111111,1.348839319,0.911305709
RUNY,2.24,-8.58,10.82,0.956378691,0.830559527
UTAH,5.986666667,-4.16,10.14666667,0.877286193,0.809834395
ATL,7.453333333,-2.666666667,10.12,0.874153817,0.808982754
SEA,1.061111111,-4.455555556,5.516666667,0.333427385,0.630594153
LA,-2.186666667,-5.426666667,3.24,0.066000772,0.526311394
NE,2.8,0.16,2.64,-0.004477692,0.498213665
HOU,-3.55,-5.494444444,1.944444444,-0.086180503,0.465661465
SD,0.438888889,-1.311111111,1.75,-0.109020745,0.456593018
NOLA,-4.6,-4.993333333,0.393333333,-0.268380382,0.394203269
DAL,15.79444444,16.54444444,-0.75,-0.402681009,0.343591453
TOR,-6.48,0.28,-6.76,-1.108640283,0.133792696
OGDC,-4.733333333,13.67333333,-18.40666667,-2.476705564,0.006630062
