,Attack,Defense,Overall,Standardised,Quantile
AUS,2.8197278911564623,-9.850340136054422,12.670068027210887,1.3769780287624318,0.9157404795773035
RUNY,3.408730158730158,-6.162698412698411,9.571428571428571,0.9647148554358921,0.832656173759315
UTAH,5.857142857142858,-1.476190476190477,7.333333333333335,0.6669440891912569,0.74759607632936
NE,4.214285714285714,-2.2539682539682544,6.468253968253968,0.5518482965647842,0.7094738527289822
ATL,4.214285714285713,-2.1428571428571437,6.357142857142858,0.537065350722852,0.7043887631160184
SEA,-0.8469387755102041,-6.285714285714286,5.438775510204081,0.41487977794769754,0.6608850429490316
LA,-1.9880952380952381,-6.4563492063492065,4.468253968253968,0.2857552714100036,0.6124672157889033
HOU,-2.6904761904761902,-4.9444444444444455,2.253968253968255,-0.008847720725646218,0.49647031616929604
NOLA,-3.46031746031746,-3.6587301587301586,0.1984126984126989,-0.282332218801393,0.38884439149835703
SD,0.15306122448979562,0.2925170068027203,-0.1394557823129247,-0.32728444187175837,0.37172637932274655
TOR,-4.500000000000001,-0.9722222222222223,-3.527777777777778,-0.7780888668576212,0.21825831276985574
DAL,11.996598639455781,16.391156462585034,-4.394557823129249,-0.8934109290633067,0.18581857602536972
OGDC,-5.099206349206349,11.432539682539685,-16.53174603174603,-2.5082214927151925,0.006067029021658121
