,R1,G1,B1,R2,G2,B2
AUS,238,101,41,255,255,255
ATL,33,39,33,177,32,41
DAL,0,174,148,30,25,26
HOU,2,0,1,249,226,0
LA,41,168,223,255,255,255
NE,3,30,65,200,26,46
NOLA,185,142,45,255,255,255
OGDC,9,32,81,197,10,42
RUNY,0,45,98,243,119,54
SD,255,0,0,0,0,0
SEA,24,42,85,99,180,69
TOR,13,64,139,255,255,255
UTAH,0,0,0,200,28,34
