GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,13,6,TBILISI CUP,URU,1,1,4,0,1,1,1,0
2,2,9,TEST,CAN,2,1,1,0,1,1,3,0
3,5,9,TEST,JPN,1,1,1,0,1,1,2,0
