GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,7,2,6 NATIONS,SCO,0,0,5,0,1,0,1,0
2,14,2,6 NATIONS,IRE,1,0,2,0,0,0,6,0
3,28,2,6 NATIONS,WAL,1,1,2,0,1,0,5,0
4,15,3,6 NATIONS,ITA,2,2,5,0,0,0,0,0
5,21,3,6 NATIONS,ENG,7,7,2,0,5,2,2,0
6,15,8,TEST,ENG,1,0,3,0,3,2,0,0
7,22,8,TEST,ENG,1,1,6,0,2,2,2,0
8,5,9,TEST,SCO,1,1,4,0,1,1,3,0
9,19,9,RWC,ITA,2,2,6,0,1,1,1,0
10,23,9,RWC,ROM,5,5,1,0,1,0,2,0
11,1,10,RWC,CAN,5,5,2,0,2,1,2,0
