GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,PNC,SAM,1,1,3,0,2,1,3,0
2,24,7,PNC,JPN,1,0,6,0,2,1,2,0
3,29,7,PNC,TGA,2,0,3,0,3,3,4,0
4,3,8,PNC,CAN,0,0,4,1,1,1,2,0
5,22,8,TEST,CAN,5,5,2,0,3,1,1,1
6,5,9,TEST,AUS,1,1,1,0,7,6,0,0
7,20,9,RWC,SAM,2,0,2,0,2,0,6,0
8,27,9,RWC,SCO,1,1,3,0,5,4,2,0
9,7,10,RWC,RSA,0,0,0,0,10,7,0,0
10,11,10,RWC,JPN,2,1,2,0,3,2,3,0
