GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,7,2,6 NATIONS,ITA,2,2,4,0,0,0,1,0
2,14,2,6 NATIONS,FRA,0,0,6,0,1,0,2,0
3,1,3,6 NATIONS,ENG,1,1,4,0,0,0,2,1
4,14,3,6 NATIONS,WAL,1,1,3,0,1,0,5,1
5,21,3,6 NATIONS,SCO,4,4,4,0,1,1,1,0
6,8,8,TEST,WAL,5,2,2,0,3,3,0,0
7,15,8,TEST,SCO,4,4,0,0,3,2,1,0
8,29,8,TEST,WAL,1,1,1,0,1,1,3,0
9,5,9,TEST,ENG,1,1,2,0,2,1,3,0
