GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,PNC,JPN,0,0,3,0,1,0,5,0
2,24,7,PNC,TGA,2,1,2,0,3,2,3,0
3,29,7,PNC,SAM,2,2,2,0,2,1,3,0
4,3,8,PNC,USA,1,1,2,0,4,0,1,0
5,22,8,TEST,USA,3,1,1,1,5,5,2,0
6,2,9,TEST,GEO,1,1,3,0,2,1,1,0
7,6,9,TEST,FJI,3,0,1,0,5,5,4,0
8,19,9,RWC,IRE,1,1,0,0,7,6,1,0
9,26,9,RWC,ITA,2,1,2,0,2,2,3,0
10,1,10,RWC,FRA,2,1,2,0,5,5,2,0
11,6,10,RWC,ROM,2,1,1,0,2,2,1,0
