GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,17,7,RUGBY CHAMP,NZL,2,1,2,0,5,4,2,0
2,25,7,RUGBY CHAMP,AUS,0,0,3,0,4,1,4,0
3,8,8,RUGBY CHAMP,RSA,4,4,2,1,3,2,2,0
4,15,8,TEST,RSA,0,0,4,0,2,2,3,1
