GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,17,6,NATIONS CUP,ROM,0,0,1,0,7,4,0,0
2,24,9,RWC,NZL,1,0,3,0,9,5,1,0
3,29,9,RWC,TGA,3,3,0,0,5,2,2,0
4,7,10,RWC,GEO,1,1,3,0,2,2,1,0
5,11,10,RWC,ARG,3,2,0,0,9,8,1,0
