GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,PNC,FJI,3,2,1,0,3,3,3,0
2,24,7,PNC,CAN,3,2,3,0,2,1,2,0
3,29,7,PNC,USA,3,3,4,0,2,0,3,0
4,3,8,PNC,JPN,3,2,4,0,1,0,5,0
5,5,9,TEST,ROM,2,1,3,0,1,1,3,0
