GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,PNC,CAN,1,0,5,0,0,0,2,0
2,24,7,PNC,USA,2,1,2,0,1,0,6,0
3,29,7,PNC,FJI,2,0,4,0,3,3,2,0
4,3,8,PNC,TGA,1,0,5,0,3,2,4,0
5,22,8,TEST,URU,3,3,3,0,1,0,1,0
6,29,8,TEST,URU,6,5,0,0,0,0,0,0
7,5,9,TEST,GEO,1,1,2,0,1,1,1,0
8,19,9,RWC,RSA,3,2,5,0,4,3,2,0
9,23,9,RWC,SCO,1,1,1,0,5,4,4,0
10,3,10,RWC,SAM,2,2,4,0,1,0,0,0
11,11,10,RWC,USA,3,2,3,0,2,1,2,0
