GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,8,7,TEST,SAM,1,1,6,0,1,1,3,0
2,17,7,RUGBY CHAMP,ARG,5,4,2,0,2,1,2,0
3,25,7,RUGBY CHAMP,RSA,3,3,2,0,2,2,2,0
4,8,8,RUGBY CHAMP,AUS,2,0,3,0,3,3,2,0
5,15,8,TEST,AUS,5,5,2,0,1,1,2,0
6,20,9,RWC,ARG,2,2,4,0,1,1,3,0
7,24,9,RWC,NAM,9,5,1,0,1,0,3,0
8,2,10,RWC,GEO,7,4,0,0,1,1,1,0
9,9,10,RWC,TGA,7,6,0,0,0,0,3,0
