GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,17,6,NATIONS CUP,NAM,0,0,1,0,7,4,0,0
2,5,9,TEST,TGA,1,1,3,0,2,1,3,0
3,23,9,RWC,FRA,1,0,2,0,5,5,1,0
4,27,9,RWC,IRE,1,1,1,0,6,4,2,0
5,6,10,RWC,CAN,2,2,1,0,2,1,1,0
