GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,8,7,TEST,NZL,1,1,3,0,1,1,6,0
2,19,7,PNC,USA,2,1,3,0,1,1,3,0
3,24,7,PNC,FJI,4,2,2,0,4,2,2,0
4,29,7,PNC,CAN,2,1,3,0,2,2,2,0
5,3,8,PNC,FJI,3,1,4,0,5,4,2,0
6,20,9,RWC,USA,2,0,5,0,2,0,2,0
7,26,9,RWC,RSA,0,0,2,0,6,2,4,0
8,3,10,RWC,JPN,1,0,0,0,2,2,4,0
9,10,10,RWC,SCO,4,2,3,0,3,3,5,0
