GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,7,2,6 NATIONS,IRE,0,0,1,0,2,2,4,0
2,14,2,6 NATIONS,ENG,3,1,0,0,6,4,3,0
3,28,2,6 NATIONS,SCO,3,2,1,0,1,1,4,0
4,15,3,6 NATIONS,FRA,0,0,0,0,2,2,5,0
5,21,3,6 NATIONS,WAL,2,2,2,0,8,6,3,0
6,22,8,TEST,SCO,0,0,4,0,1,1,3,0
7,29,8,TEST,SCO,1,1,0,0,6,3,4,0
8,5,9,TEST,WAL,1,0,2,1,1,0,6,0
9,19,9,RWC,FRA,1,1,1,0,2,2,6,0
10,26,9,RWC,CAN,2,1,2,0,2,2,3,0
11,4,10,RWC,IRE,0,0,3,0,1,1,3,0
12,11,10,RWC,ROM,4,3,2,0,3,2,1,0
