GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,RUGBY CHAMP,RSA,3,3,1,0,2,2,2,0
2,25,7,RUGBY CHAMP,ARG,4,1,4,0,0,0,3,0
3,8,8,RUGBY CHAMP,NZL,3,3,2,0,2,0,3,0
4,15,8,TEST,NZL,1,1,2,0,5,5,2,0
5,5,9,TEST,USA,7,6,0,0,1,1,1,0
