GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,6,2,6 NATIONS,WAL,2,1,3,0,1,1,2,1
2,14,2,6 NATIONS,ITA,6,4,3,0,3,1,0,0
3,1,3,6 NATIONS,IRE,0,0,2,1,1,1,4,0
4,14,3,6 NATIONS,SCO,3,2,2,0,1,1,2,0
5,21,3,6 NATIONS,FRA,7,7,2,0,5,2,2,0
6,15,8,TEST,FRA,3,2,0,0,1,0,3,0
7,22,8,TEST,FRA,2,2,2,0,1,1,6,0
8,5,9,TEST,IRE,2,1,3,0,1,1,2,0
9,18,9,RWC,FJI,4,3,3,0,1,0,2,0
10,26,9,RWC,WAL,1,1,5,1,1,1,7,0
11,3,10,RWC,AUS,1,1,2,0,3,3,4,0
