GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,RUGBY CHAMP,AUS,2,2,2,0,3,3,1,0
2,25,7,RUGBY CHAMP,NZL,2,2,2,0,3,3,2,0
3,8,8,RUGBY CHAMP,ARG,3,2,2,0,4,4,2,1
4,15,8,TEST,ARG,2,2,3,1,0,0,4,0
