GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,18,7,PNC,TGA,3,3,3,0,3,2,1,0
2,24,7,PNC,SAM,4,2,2,0,4,2,2,0
3,29,7,PNC,JPN,3,3,2,0,2,0,4,0
4,3,8,PNC,SAM,5,4,2,0,3,1,4,0
5,6,9,TEST,CAN,5,5,4,0,3,0,1,0
