GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,6,2,6 NATIONS,ENG,1,1,2,1,2,1,3,0
2,15,2,6 NATIONS,SCO,2,2,4,0,2,2,3,0
3,28,2,6 NATIONS,FRA,1,0,5,0,1,1,2,0
4,14,3,6 NATIONS,IRE,1,0,5,1,1,1,3,0
5,21,3,6 NATIONS,ITA,8,6,3,0,2,2,2,0
6,8,8,TEST,IRE,3,3,0,0,5,2,2,0
7,29,8,TEST,IRE,1,1,3,0,1,1,1,0
8,5,9,TEST,ITA,1,0,6,0,2,0,2,1
