GAME,DAY,MONTH,COMP,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,13,6,TBILISI CUP,GEO,1,1,1,0,1,1,4,0
2,22,8,TEST,JPN,1,0,1,0,3,3,3,0
3,29,8,TEST,JPN,0,0,0,0,6,5,0,0
