,R1,G1,B1,R2,G2,B2
DENVER,165,44,175,190,193,198
OHIO,27,62,144,255,31,37
SACRAMENTO,26,93,76,217,182,40
SAN DIEGO,35,167,250,225,198,127
SAN FRANCISCO,197,12,20,0,0,0
