,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.027777777777777,-6.182539682539683,11.21031746031746,2.213129682436127,0.9865556468794092
SHARKS,0.035714285714286476,-7.218253968253968,7.253968253968256,1.387335613495075,0.9173302758421091
BULLS,2.4166666666666665,-2.9444444444444433,5.361111111111111,0.9922465754961958,0.8394613712902173
BLUES,-0.9087301587301587,-3.596031746031746,2.687301587301587,0.43415224886381726,0.667911057024258
HURRICANES,1.4999999999999996,-0.9428571428571425,2.442857142857142,0.38313026827528274,0.6491884110278614
REBELS,1.166666666666666,-0.905555555555555,2.072222222222221,0.305769018486823,0.6201097404782425
LIONS,3.4246031746031753,2.7817460317460316,0.6428571428571436,0.0074229566688021,0.5029613040659646
WARATAHS,-4.095238095238096,-4.694444444444444,0.5992063492063485,-0.0016881112934364869,0.49932654135088644
STORMERS,-4.888888888888888,-4.841269841269841,-0.04761904761904745,-0.13669757291569468,0.4456349240280883
REDS,-1.5476190476190481,0.48730158730158735,-2.0349206349206352,-0.5514996488692346,0.29064560365548275
HIGHLANDERS,0.3666666666666664,2.457142857142857,-2.0904761904761906,-0.563095553548447,0.2866849095585561
JAGUARES,-1.3888888888888882,2.3888888888888893,-3.7777777777777772,-0.9152797442342399,0.18002239503910117
BRUMBIES,-1.1388888888888893,2.880952380952381,-4.01984126984127,-0.9658047574793794,0.1670709437353215
SUNWOLVES,1.1428571428571423,6.595238095238096,-5.452380952380954,-1.2648134424219275,0.10296910574354795
CHIEFS,2.149659863945579,7.887074829931971,-5.737414965986393,-1.3243075329597636,0.09270046487256844
