,Attack,Defense,Overall,Standardised,Quantile
BULLS,7.666666666666665,-3.5555555555555554,11.222222222222221,1.3355504274255545,0.9091518688120361
SHARKS,3.1111111111111107,-6.333333333333333,9.444444444444443,1.1121052530915474,0.8669535508103329
HURRICANES,3.3333333333333335,-4.5555555555555545,7.888888888888888,0.9165907255492913,0.8203214269360171
REBELS,-0.33333333333333215,-6.833333333333332,6.5,0.7420241831008484,0.7709636581666379
CRUSADERS,2.0,-3.2777777777777772,5.277777777777778,0.5884056257462186,0.7218699687235786
JAGUARES,2.2222222222222214,-1.7777777777777775,3.9999999999999987,0.4278044066936509,0.6656032358158609
STORMERS,-2.8888888888888893,-5.5555555555555545,2.6666666666666656,0.26022052594314565,0.6026531639515278
BLUES,-0.1111111111111119,-1.8888888888888882,1.7777777777777761,0.148497938776142,0.5590250937300444
LIONS,0.8888888888888881,1.0000000000000007,-0.11111111111111249,-0.08891255895374041,0.46457570124153197
WARATAHS,-1.8333333333333321,-0.8333333333333321,-1.0,-0.20063514612074373,0.4204919371018795
BRUMBIES,3.2222222222222228,5.666666666666667,-2.444444444444444,-0.38218435026712444,0.35116231452605906
REDS,-1.5,1.1666666666666679,-2.666666666666668,-0.4101149970588755,0.3408607959543103
HIGHLANDERS,-1.6666666666666667,3.944444444444444,-5.611111111111111,-0.7801960670495744,0.21763773847937823
SUNWOLVES,-1.3333333333333333,6.333333333333333,-7.666666666666667,-1.0385545498732702,0.14950597645436087
CHIEFS,-9.999999999999998,10.333333333333334,-20.333333333333332,-2.63060141700307,0.004261696718081708
