,Attack,Defense,Overall,Standardised,Quantile
CRUSADERS,5.015306122448979,-7.127551020408164,12.142857142857142,2.066930584079792,0.9806296523182453
SHARKS,1.6250000000000004,-9.043367346938775,10.668367346938775,1.8052122845791936,0.9644792653327172
BULLS,1.3673469387755095,-2.8367346938775513,4.204081632653059,0.6578175251769167,0.7446723041182636
REBELS,2.206632653061224,-1.5297619047619047,3.7363945578231283,0.5748042237205564,0.7172881450572824
BLUES,0.7168367346938774,-2.509353741496598,3.2261904761904754,0.48424425849543595,0.6858937348860292
HURRICANES,1.339285714285714,-0.7083333333333326,2.0476190476190466,0.2750507388254076,0.608361371467764
WARATAHS,-2.7219387755102042,-2.548469387755102,-0.1734693877551027,-0.11918697645461689,0.4525636121912108
REDS,-1.2219387755102045,-0.5297619047619041,-0.6921768707483003,-0.21125627443348946,0.4163436504155465
HIGHLANDERS,1.0654761904761905,2.1369047619047623,-1.0714285714285718,-0.27857251525082893,0.39028645383960975
STORMERS,-6.1147959183673475,-4.135204081632653,-1.9795918367346939,-0.4397692533515433,0.33005211931233513
LIONS,1.6862244897959184,4.875000000000001,-3.1887755102040827,-0.654396370935079,0.25642823593535086
BRUMBIES,-1.1352040816326532,2.313775510204082,-3.448979591836735,-0.7005819531998904,0.24178197206541246
JAGUARES,-1.9795918367346934,2.3265306122448983,-4.3061224489795915,-0.8527226947780927,0.1969065511893302
CHIEFS,1.9285714285714282,8.212585034013605,-6.284013605442179,-1.2037934933008103,0.11433470261380568
SUNWOLVES,-0.33928571428571463,7.071428571428571,-7.4107142857142865,-1.403780083172951,0.08019217328661638
