ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,URUGUAY,RWC,3,1,0,0,3,1,1,0
2,UNITED STATES,RWC,3,2,2,0,4,2,2,0
3,UNITED STATES,RWC,3,2,0,0,6,4,3,0
4,FIJI,RWC,1,1,2,0,6,4,0,0
5,TONGA,RWC,3,0,1,0,5,4,0,0
6,UNITED STATES,RWC,2,1,1,0,3,1,1,0
7,ITALY,RWC,1,1,0,0,7,5,1,0
8,NEW ZEALAND,RWC,0,0,0,0,9,9,0,0
9,SOUTH AFRICA,RWC,1,1,0,0,10,8,0,0
