ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,NEW ZEALAND,RWC,1,1,3,0,2,2,2,0
2,AUSTRALIA,RWC,1,1,1,0,1,1,3,0
3,SOUTH AFRICA,RWC,1,1,2,0,5,3,5,0
4,SOUTH AFRICA,RWC,2,1,2,0,2,1,4,0
5,FRANCE,RWC,2,1,3,0,2,2,2,1
6,TONGA,RWC,4,4,0,0,2,1,0,0
7,ENGLAND,RWC,1,1,1,0,6,3,1,0
8,UNITED STATES,RWC,7,6,0,0,3,1,0,0
