ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,FRANCE,RWC,3,3,1,0,2,0,1,1
2,ITALY,RWC,2,2,4,0,2,1,1,0
3,ENGLAND,RWC,2,1,3,0,1,1,2,0
4,SCOTLAND,RWC,2,1,2,0,1,0,2,0
5,IRELAND,RWC,1,1,6,0,1,1,0,0
6,ENGLAND,RWC,3,2,0,0,3,3,3,1
7,ENGLAND,RWC,1,1,2,0,0,0,2,0
8,IRELAND,RWC,2,2,1,0,3,2,1,0
9,IRELAND,RWC,1,1,1,0,3,2,0,0
10,GEORGIA,RWC,6,5,1,0,2,2,0,0
11,AUSTRALIA,RWC,2,2,3,2,3,2,2,0
12,FIJI,RWC,4,3,1,0,3,1,0,0
13,URUGUAY,RWC,5,5,0,0,1,1,2,0
14,FRANCE,RWC,2,2,2,0,3,2,0,0
15,SOUTH AFRICA,RWC,1,1,3,0,1,1,4,0
