ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,TONGA,RWC,3,2,2,0,2,1,1,0
2,UNITED STATES,RWC,1,1,1,0,1,1,2,0
3,FIJI,RWC,0,0,1,0,1,1,1,0
4,AUSTRALIA,RWC,2,1,1,0,6,2,0,0
5,RUSSIA,RWC,6,2,0,0,0,0,2,1
6,SCOTLAND,RWC,0,0,0,0,3,3,1,1
7,JAPAN,RWC,1,1,4,0,4,3,4,0
8,IRELAND,RWC,1,0,0,0,7,6,0,0
