ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,RUSSIA,RWC,3,2,1,0,0,0,2,0
2,SCOTLAND,RWC,1,1,1,0,5,5,3,0
3,SCOTLAND,RWC,0,0,3,0,6,3,0,0
4,WALES,RWC,2,2,0,0,6,5,1,0
5,URUGUAY,RWC,5,4,0,0,1,1,0,0
6,FIJI,RWC,1,1,1,0,7,5,0,0
7,AUSTRALIA,RWC,4,2,1,0,1,0,1,0
