ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,JAPAN,RWC,5,3,1,0,3,3,0,0
2,TONGA,RWC,5,5,2,0,1,1,0,0
3,UNITED STATES,RWC,4,4,1,0,2,2,2,0
4,SOUTH AFRICA,RWC,1,1,0,0,6,4,1,0
5,RUSSIA,RWC,4,2,2,0,1,1,1,0
6,IRELAND,RWC,1,1,4,0,2,1,0,0
7,SAMOA,RWC,4,3,4,0,1,1,4,0
8,SCOTLAND,RWC,4,4,0,0,3,3,0,0
9,SOUTH AFRICA,RWC,0,0,1,0,3,1,3,0
