ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SCOTLAND,RWC,3,1,1,0,5,4,0,0
2,WALES,RWC,2,1,1,0,2,2,4,0
3,IRELAND,RWC,2,0,2,0,4,3,0,0
4,ENGLAND,RWC,2,2,0,0,8,7,1,0
5,FRANCE,RWC,1,0,3,0,3,2,1,1
6,IRELAND,RWC,2,0,0,0,5,2,0,0
7,RUSSIA,RWC,13,10,0,0,2,1,1,0
8,FRANCE,RWC,3,2,0,0,7,6,0,0
9,ENGLAND,RWC,0,0,0,0,4,4,3,0
10,NAMIBIA,RWC,7,6,0,0,3,2,1,0
11,CANADA,RWC,7,5,1,0,1,1,0,0
12,SOUTH AFRICA,RWC,0,0,1,0,7,4,2,0
