ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,GEORGIA,RWC,0,0,2,0,3,2,1,0
2,ITALY,RWC,2,1,1,0,13,10,0,0
3,JAPAN,RWC,1,1,1,0,4,2,2,0
4,SAMOA,RWC,0,0,2,1,6,2,0,0
5,IRELAND,RWC,0,0,0,0,5,5,0,0
6,SCOTLAND,RWC,0,0,0,0,9,8,0,0
