,Attack,Defense,Overall,Standardised,Quantile
BULLS,7.625,-9.1625,16.7875,2.134342723206808,0.9835926317787503
CRUSADERS,6.487500000000001,-1.7750000000000004,8.262500000000001,1.0047395291581331,0.8424888556722572
STORMERS,-3.375,-10.0375,6.6625,0.7927318915654199,0.7860329773067427
SHARKS,2.2874999999999996,-3.8625,6.149999999999999,0.7248231951490038,0.76571974798748
REBELS,2.8625000000000007,-0.5374999999999996,3.4000000000000004,0.3604350680365283,0.6407390970268754
HURRICANES,-0.3499999999999993,-3.5,3.15,0.32730887466266684,0.6282828596068581
LIONS,5.06,2.6,2.4599999999999995,0.23588058095080922,0.5932373313643815
WARATAHS,-5.325,-4.325,-1.0,-0.22258593534343293,0.4119288919128041
BRUMBIES,-0.15999999999999942,1.0799999999999996,-1.239999999999999,-0.2543870809823398,0.39959826532232956
BLUES,-5.175000000000001,-3.7375,-1.4375000000000009,-0.2805567737476906,0.38952518718980367
JAGUARES,1.4900000000000007,3.2400000000000007,-1.75,-0.32196451546501725,0.3737397884241015
REDS,-1.3375000000000004,1.5750000000000002,-2.9125000000000005,-0.476001314653473,0.3170367206550748
HIGHLANDERS,-2.4499999999999993,1.2249999999999996,-3.674999999999999,-0.5770362044437501,0.2819574992721016
SUNWOLVES,-1.5099999999999993,8.5,-10.01,-1.416453944537399,0.07832131968543869
CHIEFS,-3.71,10.94,-14.65,-2.0312760935562673,0.021113497538377657
