ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,TOR,SEA,2,1,3,0,1,0,1,0
2,UTAH,SEA,2,2,2,0,2,2,1,0
3,SD,SD,4,4,1,0,4,4,0,0
4,AUS,SEA,2,1,2,0,3,2,2,0
5,NOLA,SEA,2,1,4,0,1,1,6,0
6,HOU,HOU,3,2,0,0,3,3,0,0
7,DAL,DAL,4,4,2,0,2,1,0,0
8,LA,SEA,2,1,0,0,5,3,0,0
9,NE,NE,3,2,1,0,3,3,1,0
10,SD,SEA,4,4,2,0,5,2,1,0
12,UTAH,SLC,2,2,2,0,2,2,0,0
13,AUS,AUS,0,0,2,0,2,2,1,0
