ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,NE,NO,2,0,1,0,3,3,1,0
2,ATL,NO,0,0,3,0,2,2,0,0
3,TOR,NO,3,1,2,0,2,1,4,0
5,SEA,SEA,1,1,6,0,2,1,4,0
6,DAL,DAL,5,2,1,0,4,3,0,0
7,RUNY,NO,3,2,0,0,4,2,2,0
8,OGDC,DC,5,3,0,0,4,1,0,0
9,NE,NE,4,3,1,0,5,4,0,0
10,ATL,NO,3,1,0,0,5,3,1,0
11,TOR,TOR,5,4,1,0,8,5,1,0
12,AUS,NO,2,0,0,0,4,3,2,0
13,RUNY,NY,4,4,0,0,5,4,1,0
14,OGDC,NO,7,6,1,0,3,3,0,0
16,SD,NO,2,1,0,0,6,6,0,0
17,NE,NE,1,0,0,0,8,7,1,0
