ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,LA,HOU,3,0,2,0,1,0,2,0
2,RUNY,HOU,1,1,0,0,2,0,0,0
3,DAL,DAL,6,4,0,0,5,4,0,0
4,SD,HOU,2,2,2,0,3,2,4,0
