ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,TOR,SEA,1,0,1,0,2,1,3,0
2,LA,LAN,1,1,3,0,5,3,0,0
3,NOLA,NO,2,1,4,0,3,1,2,0
4,OGDC,DC,4,3,1,0,1,0,0,0
6,NE,NE,2,1,1,0,3,3,0,0
7,UTAH,SLC,4,2,1,0,3,3,1,0
8,RUNY,NY,2,2,0,0,2,0,0,0
9,ATL,TOR,1,0,3,0,2,2,2,0
10,OGDC,TOR,4,3,2,0,5,1,0,0
11,NOLA,TOR,8,5,1,0,5,4,1,0
