ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,NOLA,NO,3,3,1,0,2,0,1,0
3,OGDC,DC,7,3,0,0,3,2,2,0
4,LA,LA,2,1,1,0,3,2,0,0
