ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,ATL,ATL,3,2,1,0,7,7,2,0
2,AUS,AUS,2,1,0,0,8,7,1,0
3,NE,DC,3,2,2,0,7,3,0,0
4,TOR,DC,1,0,0,0,4,3,1,0
5,SD,SD,2,1,0,0,3,3,1,0
6,ATL,DC,2,0,1,0,4,2,1,0
8,NOLA,DC,4,1,0,0,5,3,0,0
