ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SD,SD,4,3,1,0,5,3,0,0
2,SEA,SEA,2,2,1,0,2,2,2,0
3,AUS,AUS,1,1,1,0,4,2,0,0
5,DAL,SLC,10,8,1,0,3,2,1,0
6,LA,LA,3,2,3,0,3,2,0,0
7,TOR,SLC,3,3,1,0,4,2,1,0
8,HOU,SLC,2,1,0,0,4,4,0,0
9,SD,SLC,3,2,2,0,4,4,4,0
