ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
1,AUS,AUS,1,1,0,0,6,5,1,0
2,SD,SD,2,2,5,0,5,3,2,0
3,HOU,DAL,5,4,0,0,6,4,0,0
4,RUNY,DAL,1,0,0,0,7,3,0,0
