BLUES,AKL
BRUMBIES,CBR
BULLS,PRE
CHEETAHS,BFN
CHIEFS,HLZ
CRUSADERS,CHC
FORCE,PER
HIGHLANDERS,DUN
HURRICANES,WLG
JAGUARES,BUE
KINGS,PLZ
LIONS,JNB
REBELS,MEL
REDS,BNE
SHARKS,DUR
STORMERS,CPT
SUNWOLVES,TYO
WARATAHS,SYD
