ARGENTINA,RWC
AUSTRALIA,RWC
CANADA,RWC
ENGLAND,RWC
FIJI,RWC
FRANCE,RWC
GEORGIA,RWC
IRELAND,RWC
ITALY,RWC
JAPAN,RWC
NAMIBIA,RWC
NEW ZEALAND,RWC
RUSSIA,RWC
SAMOA,RWC
SCOTLAND,RWC
SOUTH AFRICA,RWC
TONGA,RWC
UNITED STATES,RWC
URUGUAY,RWC
WALES,RWC
