ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,HIGHLANDERS,DUN,4,4,2,0,5,5,2,0
3,CHIEFS,AKL,3,3,0,0,4,2,1,0
4,LIONS,JNB,5,5,1,0,5,5,0,0
5,STORMERS,CPT,3,1,1,0,4,4,3,0
7,SHARKS,AKL,6,5,0,0,6,6,7,0
8,CHIEFS,HLZ,1,1,4,0,2,1,3,0
9,SUNWOLVES,TYO,4,2,0,0,1,1,1,0
10,HIGHLANDERS,AKL,2,0,2,0,5,3,1,0
11,JAGUARES,AKL,2,1,0,0,3,1,1,0
12,WARATAHS,BRO,2,1,4,0,3,3,0,0
13,HURRICANES,AKL,2,1,1,0,5,4,1,0
