ROUND,OPP,VENUE,TF,CF,PF,DGF,TA,CA,PA,DGA
2,STORMERS,SYD,4,4,2,0,3,3,2,0
3,SHARKS,DUR,3,3,1,0,3,3,1,0
4,JAGUARES,BUE,4,4,0,0,6,4,0,0
5,REBELS,SYD,6,6,3,0,4,2,1,0
7,BRUMBIES,CBR,2,1,4,0,1,0,4,0
8,SUNWOLVES,TYO,7,6,1,0,4,3,1,0
9,REDS,SCG,4,4,3,0,1,1,3,0
10,LIONS,SYD,0,0,0,0,4,3,1,0
12,BLUES,BRO,3,3,0,0,2,1,4,0
13,CRUSADERS,CHC,4,3,1,0,5,3,0,0
14,HIGHLANDERS,SYD,6,4,1,0,2,1,0,0
15,CHIEFS,HLZ,3,3,2,0,6,3,1,0
16,REDS,BNE,8,6,0,0,7,3,0,0
17,REBELS,MEL,4,4,1,0,2,2,4,0
