ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,DENVER,1,1,2,0,2,0,2,0
3,SAN FRANCISCO,8,4,1,0,2,2,1,0
4,SACRAMENTO,5,3,0,0,1,0,2,0
