ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,OHIO,2,0,2,0,1,1,2,0
2,SAN FRANCISCO,5,2,2,0,3,0,1,0
3,SAN DIEGO,3,2,1,0,1,1,3,0
