ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SAN FRANCISCO,5,3,1,1,3,2,2,0
2,SAN DIEGO,3,3,1,0,4,1,5,0
4,OHIO,1,0,2,0,5,3,0,0
