ROUND,OPP,TF,CF,PF,DGF,TA,CA,PA,DGA
1,SACRAMENTO,3,2,2,0,5,3,1,1
2,DENVER,3,0,1,0,5,2,2,0
3,OHIO,2,2,1,0,8,4,1,0
4,SAN DIEGO,5,4,0,0,5,3,5,0
