,Attack,Defense,Overall,Standardised,Quantile
CHIEFS,5.666666666666666,-3.7666666666666666,9.433333333333334,0.9706160069094737,0.8341302340239319
SHARKS,6.0555555555555545,-2.083333333333334,8.13888888888889,0.8426045750548091,0.8002751842382383
CRUSADERS,1.3266666666666667,-6.74,8.066666666666666,0.8354623063247205,0.7982712692616074
JAGUARES,4.9222222222222225,-2.4277777777777785,7.350000000000001,0.7645890243107648,0.7777418465562194
BLUES,3.133333333333334,-4.1000000000000005,7.233333333333334,0.753051513285237,0.7742905203342921
STORMERS,-2.993333333333333,-10.12,7.12666666666667,0.7425029317761833,0.7711086619220853
BRUMBIES,0.686666666666666,-4.586666666666667,5.2733333333333325,0.5592213280563714,0.7119946604821406
HURRICANES,2.4133333333333327,-2.34,4.753333333333332,0.5077969931997336,0.6942021406613985
REDS,2.222222222222222,0.4222222222222219,1.8,0.21573314266780375,0.585402117319376
BULLS,-2.9866666666666672,-2.5,-0.4866666666666674,-0.010402073432539367,0.49585024794008264
REBELS,-3.994444444444445,3.9166666666666665,-7.911111111111111,-0.7446272988856454,0.22824853009773072
HIGHLANDERS,-4.006666666666667,4.926666666666666,-8.933333333333334,-0.8457178716807452,0.19885507541308106
LIONS,-4.8133333333333335,6.539999999999999,-11.353333333333333,-1.0850388146674057,0.1389522322430708
WARATAHS,-5.426666666666667,6.540000000000001,-11.966666666666665,-1.1456931583444654,0.12596106785193256
SUNWOLVES,-5.873333333333333,18.373333333333328,-24.246666666666666,-2.360098604574296,0.009135039057324343
