,Attack,Defense,Overall,Standardised,Quantile
JAGUARES,5.479166666666667,-5.3125,10.791666666666668,1.2196255793397732,0.8886965774679119
STORMERS,-0.875,-11.4375,10.5625,1.1955309648054024,0.8840601771968379
HURRICANES,3.6666666666666665,-3.0,6.666666666666667,0.7859225177211037,0.7840435591947451
CHIEFS,2.583333333333334,-3.020833333333333,5.604166666666667,0.6742111230617495,0.7499114505049973
CRUSADERS,1.291666666666666,-4.020833333333334,5.3125,0.6435452500180052,0.74006481847761
BRUMBIES,0.2916666666666661,-4.354166666666667,4.645833333333333,0.5734518259180181,0.7168305958813859
REDS,4.500000000000001,1.375,3.1250000000000018,0.4135512021899232,0.6603985915689904
LIONS,3.5833333333333335,2.3333333333333335,1.25,0.2164134469087097,0.5856672572496145
SHARKS,4.187499999999999,4.9375,-0.7500000000000009,0.006133174608748743,0.5024467673249738
BULLS,-7.083333333333333,-5.75,-1.3333333333333333,-0.055198571478739744,0.47799013349858294
BLUES,-0.04166666666666696,2.1458333333333335,-2.1875000000000004,-0.1450057711068481,0.4423531576340629
HIGHLANDERS,-2.8333333333333335,3.1666666666666665,-6.0,-0.5458525401786484,0.29258365205616843
REBELS,-5.854166666666666,6.875,-12.729166666666666,-1.2533580396878916,0.1050377174075991
WARATAHS,-8.25,7.25,-15.5,-1.5446838336034625,0.06121137855804946
SUNWOLVES,-6.5,15.083333333333334,-21.583333333333332,-2.184286328515843,0.014470607370822414
